ID;VL_FATU;VL_SLDO;DT_ABRT;DS_CNAE;DT_REFE;IDADE_ANOS;MOMENTO_VIDA;VL_TOTAL_RECEBIDO;VL_TOTAL_PAGO
CNPJ_06662;1132625;-79797;2016-05-06;Montagem industrial;2025-05-31;9;Maturidade;240564;101660
CNPJ_06663;2635883;70686;2016-10-26;Comércio atacadista de tecidos;2025-05-31;9;Maturidade;20246699;2369746
CNPJ_06664;210229;11591;2020-12-10;Extração de minério de ferro;2025-05-31;4;Expansão;0;155
CNPJ_06665;81191346;-7002107;2003-03-18;Cultivo de arroz;2025-05-31;22;Declínio;332;0
CNPJ_06666;130038;-6162;2020-07-14;Produção de alumínio;2025-05-31;5;Maturidade;238209;133981
CNPJ_06667;433293;18738;2020-02-22;Administração pública;2025-05-31;5;Maturidade;27;0
CNPJ_06668;87173;-440;2020-07-29;Extração de petróleo e gás natural;2025-05-31;5;Maturidade;4067;701
CNPJ_06672;62096;3325;2020-10-12;Fabricação de automóveis;2025-05-31;5;Maturidade;247;0
CNPJ_06670;1938445;101241;2022-10-01;Obras de infraestrutura elétrica;2025-05-31;3;Expansão;0;24309
CNPJ_06671;20785896;206565;2006-11-30;Defesa nacional;2025-05-31;18;Declínio;0;556
CNPJ_06673;2422729;71805;2022-07-22;Administração pública;2025-05-31;3;Expansão;316;148
CNPJ_06674;10543505;-126507;2001-07-28;Restaurantes e similares;2025-05-31;24;Declínio;177;251657
CNPJ_06675;87716;8010;2019-08-31;Correios e entregas expressas;2025-05-31;6;Maturidade;0;0
CNPJ_06676;7843841;659890;2004-12-23;Transporte ferroviário de carga;2025-05-31;20;Declínio;0;0
CNPJ_06669;208249;-3777;2020-05-14;Televisão por assinatura;2025-05-31;5;Maturidade;0;1911
CNPJ_06661;950038;943;2022-03-14;Consultoria empresarial;2025-05-31;3;Expansão;0;0
CNPJ_06643;124537;7930;2020-11-22;Transporte rodoviário de carga;2025-05-31;5;Maturidade;0;43
CNPJ_06659;22118313;-946392;2012-04-12;Comércio atacadista de medicamentos;2025-05-31;13;Declínio;0;3674
CNPJ_06715;1428798;-210603;2020-04-06;Saneamento básico;2025-05-31;5;Maturidade;1303;0
CNPJ_06644;250034;-2483;2019-10-22;Fabricação de móveis;2025-05-31;6;Maturidade;24;0
CNPJ_06645;596725;-21082;2022-11-24;Planos de saúde;2025-05-31;3;Expansão;0;0
CNPJ_06646;180676;-9467;2020-04-30;Comércio varejista de combustíveis;2025-05-31;5;Maturidade;580;0
CNPJ_06647;50474748;4953337;1997-05-18;Comércio atacadista de tecidos;2025-05-31;28;Declínio;0;82
CNPJ_06648;14061303;1257011;2019-01-05;Serviços de tecnologia da informação;2025-05-31;6;Maturidade;0;118
CNPJ_06649;2171443;83109;2016-06-11;Transporte rodoviário de carga;2025-05-31;9;Maturidade;826;0
CNPJ_06660;5073922;-162557;2013-07-13;Restaurantes e similares;2025-05-31;12;Declínio;5476;6342
CNPJ_06650;57628;2538;2023-12-03;Defesa nacional;2025-05-31;1;Início;0;0
CNPJ_06652;587332;24399;2022-01-11;Armazenamento geral;2025-05-31;3;Expansão;738035;125628
CNPJ_06653;1181835;20267;2019-12-14;Geração de energia elétrica;2025-05-31;5;Maturidade;8754;0
CNPJ_06654;87098;2471;2023-05-07;Construção de barragens;2025-05-31;2;Expansão;56;1789
CNPJ_06655;415815;38837;2014-07-13;Fabricação de móveis;2025-05-31;11;Declínio;6128;0
CNPJ_06656;11027080;434169;2003-07-24;Atividades de bancos múltiplos;2025-05-31;22;Declínio;7103822;2605894
CNPJ_06657;671743;41182;2017-09-18;Restaurantes e similares;2025-05-31;8;Maturidade;5313;0
CNPJ_06658;1564042;-62028;2018-08-13;Serviços de tecnologia da informação;2025-05-31;7;Maturidade;4153;1441
CNPJ_06651;2310364;138482;2016-04-06;Cultivo de milho;2025-05-31;9;Maturidade;339381;208460
CNPJ_06677;191919800;2770805;2011-07-17;Fabricação de móveis;2025-05-31;14;Declínio;4694044;1745317
CNPJ_06696;1182226;72265;2022-01-20;Comércio atacadista de alimentos;2025-05-31;3;Expansão;2883;2264
CNPJ_06679;189842;-11820;2019-12-02;Cultivo de milho;2025-05-31;5;Maturidade;84;0
CNPJ_06701;1661354;163069;2021-10-14;Consultoria empresarial;2025-05-31;4;Expansão;9374;39
CNPJ_06702;601763;10368;2015-01-05;Defesa nacional;2025-05-31;10;Declínio;85;0
